include,xmltv_id,raw_name,provider,confidence,score,matched_db_name,grab_site,grab_site_id
yes,10TV.in@SD,10 TV,meowfy,auto,100.0,10 TV,dishtv.in,142495
yes,22ScopeNews.in@jiotv,22Scope News,meowfy,auto,100.0,22Scope News,jiotv.com,2082
yes,4TV.in@jiotv,4 TV,meowfy,auto,100.0,4 TV,jiotv.com,933
yes,6TV.in@jiotv,6 TV,meowfy,auto,100.0,6 TV,jiotv.com,670
yes,7SMusic.in@SD,7X Music,meowfy,likely,87.5,7S Music,airtelxstream.in,LIVETV_LIVETVCHANNEL_7S_MUSIC
yes,99TV.in@jiotv,99 TV,meowfy,auto,100.0,99 TV,jiotv.com,2932
yes,9XJalwa.in@SD,9X JALWA [IN],sktech,auto,100.0,9X Jalwa,airtelxstream.in,LIVETV_LIVETVCHANNEL_9X_JALWA
yes,9XM.in@SD,9XM [IN],sktech,auto,100.0,9XM,dishtv.in,77447
yes,9XTashan.in@SD,9X TASHAN [IN],sktech,auto,100.0,9X Tashan,dishtv.in,142504
yes,ABCAustralia.au@SD,ABC Australia,meowfy,auto,100.0,ABC Australia,tataplay.com,1464
yes,ABNAndhraJyoti.in@SD,ABN Andhra Jyothi,meowfy,auto,97.0,ABN Andhra Jyoti,dishtv.in,142517
yes,ABPAnanda.in@SD,ABP Ananda,meowfy,auto,100.0,ABP Ananda,dishtv.in,142518
yes,ABPAnanda.in@SD,ABP ANANDA [BENGALI],sktech,auto,100.0,ABP Ananda,dishtv.in,142518
yes,ABPAsmita.in@SD,ABP Asmita,meowfy,auto,100.0,ABP Asmita,dishtv.in,142519
yes,ABPGanga.in@jiotv,ABP Ganga,meowfy,auto,100.0,ABP Ganga,jiotv.com,1205
yes,ABPGanga.in@jiotv,ABP GANGA [IN],sktech,auto,100.0,ABP Ganga,jiotv.com,1205
yes,ABPMajha.in@SD,ABP Majha,meowfy,auto,100.0,ABP Majha,dishtv.in,142521
review,ABPMajha.in@SD,ABP Sanjha,meowfy,review,84.2,ABP Majha,dishtv.in,142521
yes,ABPNews.in@SD,BHP News,meowfy,likely,87.5,ABP News,dishtv.in,158138
yes,ABPNews.in@SD,ABP NEWS [IN-UK],sktech,auto,100.0,ABP News,dishtv.in,158138
yes,ABPNews.in@SD,ABP NEWS [IN],sktech,auto,100.0,ABP News,dishtv.in,158138
yes,AKDCalcuttaNews.in@SD,Calcutta News,meowfy,auto,100.0,AKD Calcutta News,dishtv.in,142725
yes,AKDCalcuttaNews.in@SD,CALCUTTA NEWS [BENGALI],sktech,auto,100.0,AKD Calcutta News,dishtv.in,142725
yes,AMV.in@jiotv,AMV,meowfy,auto,100.0,AMV,jiotv.com,3007
yes,ANBNews.in@SD,ANB News,meowfy,auto,100.0,ANB News,airtelxstream.in,LIVETV_LIVETVCHANNEL_ANB_NEWS
yes,ANBNews.in@SD,ANB NEWS [IN],sktech,auto,100.0,ANB News,airtelxstream.in,LIVETV_LIVETVCHANNEL_ANB_NEWS
yes,APN.in@SD,IPN News,meowfy,likely,87.5,APN,tataplay.com,286
yes,APN.in@SD,APN NEWS [IN],sktech,auto,100.0,APN,tataplay.com,286
yes,AadinathTV.in@SD,Aadinath TV,meowfy,auto,100.0,Aadinath TV,dishtv.in,142505
yes,AajTak.in@SD,Aaj Tak,meowfy,auto,100.0,Aaj Tak,dishtv.in,142507
review,AajTak.in@SD,AAJ TAKTEZ HD [IN],sktech,review,82.4,Aaj Tak,dishtv.in,142507
yes,AajTak.in@SD,AAJ TAK [IN-UK],sktech,auto,100.0,Aaj Tak,dishtv.in,142507
yes,AajTak.in@SD,AAJ TAK HD [IN],sktech,auto,100.0,Aaj Tak,dishtv.in,142507
yes,AajTak.in@SD,AAJ TAK [IN],sktech,auto,100.0,Aaj Tak,dishtv.in,142507
yes,AakaashAath.in@SD,Aakash Aath,meowfy,auto,100.0,Aakaash Aath,dishtv.in,142510
review,AaryaaBhakti.in@jiotv,Adhya Bhakti,meowfy,likely,80.0,Aaryaa Bhakti,jiotv.com,2029
review,AaseervathamTV.in@SD,AASTHA TV USA [IN],sktech,review,75.0,Aaseervatham TV,airtelxstream.in,LIVETV_LIVETVCHANNEL_AASEERVATHAM_TV
yes,Aastha.in@SD,Aastha,meowfy,auto,100.0,Aastha,dishtv.in,158133
