raw_name,provider,best_guess_xmltv_id,best_guess_score
3.0 TV,meowfy,,0
Apex Entertainment,meowfy,,0
BH OTT India Fest,meowfy,,0
Bhakti Dhara,meowfy,BhakthiTV.in@SD,66.7
Chanakya News Jharkhand,meowfy,IndiaNewsHaryana.in@SD,61.5
Chanakya News UPUK,meowfy,IndiaNewsUttarPradesh.in@SD,64.5
Discovery HD Malayalam,meowfy,DDMalayalam.in@SD,71.0
Discovery Kids Kannada,meowfy,DiscoveryKids.in@SD,71.8
Gj Desi News,meowfy,LivingIndiaNews.in@SD,62.1
Gomantak TV,meowfy,JantaTV.in@SD,73.7
Gujarat  Wild TV,meowfy,VTVNews.in@SD,59.2
JUS Hindi HD,meowfy,MusicIndia.in@SD,70.0
Mahaa Bhakthi,meowfy,IshwarBhaktiTV.in@SD,69.2
Mahotsav TV,meowfy,MadhaTV.in@SD,73.7
NBC24 News,meowfy,News24.in@SD,61.2
NBS Live TV,meowfy,SunTV.in@SD,66.7
Nation World News,meowfy,TimesNowWorld.in@SD,61.2
Nazara,meowfy,TimesNowNavbharat.in@SD,66.7
News18 MP Chhattisgarh,meowfy,News18MadhyaPradeshChhattisgarh.in@SD,71.1
Pickleball Now,meowfy,,0
Rozana Spokesman 24x7,meowfy,,0
STV24 News,meowfy,VTVNews.in@SD,55.8
Samrat News TV,meowfy,RajNews.in@SD,64.3
Sanatan Sandesh TV,meowfy,ShubhsandeshTV.in@SD,60.7
Shesh Khabar,meowfy,HarKhabar.in@SD,65.5
Suvarna,meowfy,AsianetSuvarnaNews.in@SD,67.7
Suvarna HD,meowfy,AsianetSuvarnaNews.in@SD,67.7
& FLIX HINDI FHD [IN],sktech,,0
& PRIVE FHD [IN],sktech,Andpictures.in@SD,66.7
9X MUSIC [IN],sktech,,0
AAJ TAK TEZ [IN],sktech,AajTak.in@SD,71.8
AAKAASH [BENGALI],sktech,AakaashAath.in@SD,67.7
AAPKA COLORS USA HD [IN],sktech,Colors.in@SD,60.7
AKAAL [IN-UK],sktech,HarKhabar.in@SD,57.1
AND FLIX FHD [IN],sktech,AndxplorHD.in@HD,58.8
ARIHANT [IN],sktech,Asianet.in@SD,71.4
ASTRO CRICKET HD [SP],sktech,,0
B4U MOVIES INDIA [IN],sktech,B4UMovies.in@India,70.9
B4U PLUS [IN-UK],sktech,B4UMusic.in@India,70.6
BBC EARTH FHD [IN],sktech,SonyBBCEarth.in@SD,72.3
BBO HD [IN],sktech,,0
BFLIX MOVIE [IN],sktech,JMovie.in@SD,66.7
BOX CINEMA FHD [IN],sktech,AnmolCinema.in@SD,72.7
CINEMA TV INDIA [IN],sktech,NDTVIndia.in@SD,62.8
CINEMANIA 4K [IN],sktech,JinvaniChannel.in@SD,62.5
CINEMANIA GOLD 4K [IN],sktech,StarMaaGold.in@SD,58.2
CINEPLEX FHD [IN],sktech,ColorsCineplex.in@SD,63.6
CINEPLEX HD [IN],sktech,ColorsCineplex.in@SD,63.6
COMEDY ACTIVE [IN],sktech,,0
DD [BENGALI],sktech,,0
DHAMAKA MOVIES B4U [IN],sktech,,0
DILLAGII [IN],sktech,,0
DILLI AAJ TAKK [IN],sktech,AajTak.in@SD,60.7
DINCHAAK 1 [IN],sktech,,0
DINCHAAK 2 [IN],sktech,Dangal2.in@SD,55.6
DISH CINE ACTIVE [IN],sktech,,0
ENTER 10 MOVIES [IN],sktech,Enterr10Bangla.in@SD,55.5
EVERGREEN CLASSIC HD [IN],sktech,ZeeClassic.in@SD,71.4
FOX LIFE FHD [IN],sktech,ETVLife.in@SD,62.5
FOX LIFE HD [IN],sktech,ETVLife.in@SD,62.5
FOX LIFE [BENGALI],sktech,ETVLife.in@SD,62.5
GUJRATI CINEMA [IN],sktech,ColorsGujaratiCinema.in@SD,71.8
HK NOW PREMIER SPORTS 1 HD [SP],sktech,,0
HK NOW SPORTS 1 HD [SP],sktech,SonySportsTen1.in@SD,62.5
HK NOW SPORTS 2 HD [SP],sktech,SonySportsTen2.in@SD,62.5
HK NOW SPORTS 3 HD [SP],sktech,StarSports3.in@SD,55.4
HK NOW SPORTS 4 HD [SP],sktech,SonySportsTen4.in@Tamil,62.5
HK NOW SPORTS 5 HD [SP],sktech,SonySportsTen5.in@SD,62.5
HK NOW SPORTS 6 HD [SP],sktech,,0
HK NOW SPORTS 7 HD [SP],sktech,,0
HOUSEFULL ACTION FHD [IN],sktech,ZeeAction.in@SD,61.5
HOUSEFULL MOVIES [IN],sktech,AsianetMovies.in@SD,60.0
HUB SPORTS 1 HD [SP],sktech,StarSports1.in@SD,68.8
HUB SPORTS 2 HD [SP],sktech,StarSports2.in@SD,68.8
HUB SPORTS 3 HD [SP],sktech,StarSports3.in@SD,68.8
HUNGAMA BOL HADIPA [IN],sktech,,0
HUNGAMA DIL DE HD [IN],sktech,HungamaTV.in@SD,57.3
HUNGAMA KADAK HITS [IN],sktech,HungamaTV.in@SD,55.4
HUNGAMA NAZRANA HD [IN],sktech,HungamaTV.in@SD,64.0
HUNGAMA POP PATAKA [IN],sktech,HungamaTV.in@SD,58.3
ID [IN],sktech,,0
IDN LOKMAT [IN],sktech,,0
ITV GOLD [IN-UK],sktech,StarGold.in@HD,70.6
JIO PRIME FHD [IN],sktech,PrimeAsiaTV.ca@SD,61.1
KBO [IN],sktech,,0
LIVING FOODZ FHD [IN],sktech,,0
LOK SABHA [IN],sktech,LokshahiNews.in@SD,64.6
MAX FHD [IN],sktech,MNX.in@SD,66.7
MBO [IN],sktech,,0
MINIPLEX FHD [IN],sktech,,0
MOVIE HOUSE [IN],sktech,JMovie.in@SD,63.2
MOVIE PLUS [IN],sktech,ETVPlus.in,66.7
MTUNES PLUS HD [IN],sktech,ETVPlus.in,63.2
MY SUPERSPORTS 1 HD [SP],sktech,StarSports1.in@SD,63.4
MY SUPERSPORTS 2 HD [SP],sktech,StarSports2.in@SD,63.4
MY SUPERSPORTS 3 HD [SP],sktech,StarSports3.in@SD,63.4
MY SUPERSPORTS 4 HD [SP],sktech,,0
NAT GEO FHD [IN],sktech,NationalGeographicWild.in@SD,67.7
NAT GEO HD [BENGALI],sktech,NationalGeographicWild.in@SD,67.7
NATION FIRST [IN],sktech,GujaratFirst.in@SD,64.0
NEWS 18 EN [IN-UK],sktech,CNNNews18.in@SD,74.3
NEWS TIME [BENGALI],sktech,NewsTimeBangla.in@SD,66.7
NICK SONIC HINDI [IN],sktech,KNewsIndia.in@SD,57.1
PATRIKA TV [IN],sktech,AmritaTV.in@SD,73.7
POGO KIDS [IN],sktech,EpicKids.in@SD,57.8
PUNJAB TODAY FHD [IN],sktech,IndiaToday.in@SD,69.6
RAJASTHAN PATRIKA [IN],sktech,DDRajasthan.in@SD,64.8
REPUBLIC NEWS [IN],sktech,RepublicTV.in@SD,71.7
SAHARA ONE [IN],sktech,AsianetSuvarnaNews.in@SD,63.6
SAHARA SAMAY ALAMI [IN],sktech,SarvDharamSangam.in@SD,58.9
